Angler ID,Primary Regional Monitoring Group,Secondary Regional Monitoring Group,Do Not Contact,# Volunteer Days 2007,Dates Fished 2007,2007 Total (+/-) Fishing Time (days),# Volunteer Days 2008,Dates Fished 2008,2008 Total (+/-) Fishing Time (days),# Volunteer Days 2009,Dates Fished 2009,2009 Total (+/-) Fishing Time (days),# Volunteer Days 2010,Dates Fished 2010,2010 Total (+/-) Fishing Time,# Volunteer Days 2011,Dates Fished 2011,2011 Total (+/-) Fishing Time,# Volunteer Days 2012,Dates Fished 2012,2012 Total (+/-) Fishing Time,# Volunteer Days 2013,Dates Fished 2013,2013 Total (+/-) Fishing Time,# Volunteer Days 2014,Dates Fished 2014,2014 Total (+/-) Fishing Time,# Volunteer Days 2015,Dates Fished 2015,2015 Total (+/-) Fishing Time,# Volunteer Days 2016,Dates Fished 2016,2016 Total(+/-) Fishing Time,# Volunteer Days 2017,Dates Fished 2017,2017 Total (+/-) Fishing Time (mins),# Volunteer Days 2018,Dates Fished 2018,2018 Total (+/-) Fishing Time (mins),# Volunteer Days 2019,Dates Fished 2019,2019 Total (+/-) Fishing Time (mins),# of Volunteer Days 2020,Dates Fished 2020,2020 Total (+/-) Fishing Time (mins),# Volunteer Days 2021,Dates Fished 2021,2021 Total (+/-) Fishing Time (mins)
A000,,,FALSE,0,,,0,,,0,,,1,July (21),-32,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,MLML,BML,FALSE,5,"August (6,7), October (23,24,25)",-13,6,"July (29 30), August(14,27,28), September (16)",-2.999999523,5,"July (29), August (10, 11, 17), September (16)",-2.000000238,0,,,4,"August (8, 9), September (19, 20)",-4.999999523,3,"August (7, 8), September (18)",-0.999999344,3,"August (20), September (16,17)",-2.999999523,2,"August (27), September (17)",-3,2,"August (3, 12)",-3,2,"Aug-10, Sept-7",0,2,"September (20, 26)",-2.5,3,"August (8, 29), September (6)",-1,2,SPT04_19;September (18),-10.5,,,,,,
A002,MLML,BML,FALSE,5,"August (6,7), October (23,24,25)",0,6,"July(29, 30), August(14,27,28), September (16)",-0.999999344,5,"July (29), August (10, 11, 17), September (16)",0,0,,,4,"August (8, 9), September (19, 20)",-8.000000954,3,"August (7, 8), September (18)",-2.499999762,3,"August (20), September (16,17)",-4.000000477,2,"August (27), September (17)",-8,2,"August (3, 12)",-3.5,2,"Aug-10, Sept-7",0,2,"September (20, 26)",-3,3,"August (8, 29), September (6)",-2,2,SPT04_19;September (18),-16.5,,,,,,
A003,MLML,,FALSE,8,"August (6,7,8,9), September(26,27), October(24,25)",-9,12,"July (28, 29, 30, 31), August(25,26, 27,28), September(16, 17,18,19)",0,8,"July (20,21,22,23) August (10, 11, 12, 13)",-2.000000238,8,"August (9,10,11,12,31), September (1,2,3)",-1.999998689,8,"August (8, 9, 10, 11), September (19, 20, 21, 22)",-48,7,"August (6, 7, 8, 9), September (18, 19, 20)",-2.000000238,8,"August (19, 20, 26, 27), September (9, 10, 16, 17)",4.5,8,"August (19, 20, 27, 28), September (10, 11, 17, 18)",-5.25,4,"August (10, 11, 12, 13)",-1,7,"Aug(9th-12th), Sept(7-9th)",-3,6,"August (1, 2, 3), September 18, 19, 20)",-3,6,"August (7, 8, 9), September (5, 6, 7)",-4.75,0,,0,,,,,,
A004,MLML,,TRUE,3,"August(6,7), October(24)",-4.999999523,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A005,MLML,,FALSE,15,"August (6,9,20,21,23,24), September(20,24,26,27), Oct(9,11,12,16,22)",-8.273999214,11,"July(17, 30, 31), August(12,14, 19), September(16, 17, 19, 24, 25)",-21.04800034,7,"July (27, 30), August (10, 11, 12, 13), September (2)",-9.999999046,6,"July (20), August (11,17,18,19), September (8)",-7.499999523,4,"August (9), September (19, 21, 22)",-7,16,"August (6, 7, 9, 14, 15, 16, 17, 23), September (5, 6, 7, 11, 18, 19, 20, 28)",-35,17,"July (16, 25), August (12, 14, 15, 19, 20, 26, 27), September (9, 10, 16, 17, 23, 24, 27, 28)",-42.25,14,"July (29), August (13,August (4, 5, 6, 7, 19, 28), September (2, 3, 5, 10, 11, 18)",-16.5,3,"August (3, 4, 6, 10, 13)",-3.5,9,"Aug(9,11,12,17,19); Sept(8,9,27,29)",-6,13,"July (17, 19, 27, 28), August (1), September (11, 14, 20, 25, 28, 29), October (16, 25)",-0.5,7,"August (8, 14, 28, 30), September (6, 7, 24)",-4,6,"August (6, 8, 12) September (17, 19), BHT02_19",-9.800000191,6,"July (28), August (11, 13, 24), September(9, 17)",-7,8,"July (27), August (10, 31), September (7, 8, 22), SPT01_21",-16
A006,MLML,,FALSE,2,"August(6,7)",-4.999999523,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A007,MLML,,TRUE,2,"August(6), September(25)",-0.999999344,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A008,MLML,,TRUE,3,"August(6,8), September(25)",-6.000000477,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A009,MLML,,FALSE,4,"August(6), September(24), October(8,22)",-4.5,2,"July(14), September (22)",-2.000000238,0,,,2,"August (9), September (13)",-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
