Area code,Name,MPA Designation,Monitoring Group,Region
AI,Anacapa Island,SMR/SMCA,UCSB,South
AN,Año Nuevo,SMR,MLML,Central
BH,Bodega Head,SMR,BML,North
BL,Piedras Blancas,SMR,Cal Poly,Central
CM,South Cape Mendocino,SMR,HSU,North
CP,Carrington Point,SMR,UCSB,South
FN,SE Farallon Islands,SMR,MLML,North
LB,Laguna Beach,SMR,SIO,South
LJ,South La Jolla,SMR,SIO,South
PB,Point Buchon,SMR,Cal Poly,Central
PC,Point Conception,SMR,UCSB,South
PL,Point Lobos,SMR,MLML,Central
SP,Stewarts Point,SMR/SMCA,BML,North
SW,Swamis,SMCA,SIO,South
TD,Trinidad,N/A,HSU,North
TM,Ten Mile,SMR,HSU,North
